SK_ID_CURR,TARGET
100001,0.05089551
100005,0.110698216
100013,0.026026806
100028,0.043866683
100038,0.13172717
100042,0.043898344
100057,0.025708405
100065,0.045260224
100066,0.020320343
100067,0.102786325
100074,0.076482624
100090,0.058783982
100091,0.16396296
100092,0.10166517
100106,0.08441566
100107,0.109291844
100109,0.078205295
100117,0.04418163
100128,0.08838804
100141,0.034887813
100150,0.027591653
100168,0.016803568
100169,0.0511633
100170,0.06148853
100171,0.04829246
100172,0.110034734
100184,0.068044186
100187,0.064442754
100212,0.07151023
100222,0.079945795
100223,0.026332065
100232,0.034394573
100241,0.1532298
100245,0.033235088
100253,0.031592477
100256,0.09921868
100271,0.014076499
100278,0.18264502
100280,0.014655837
100306,0.16326904
100311,0.12508571
100312,0.033107646
100330,0.09621784
100331,0.038603283
100352,0.09190163
100358,0.07046495
100367,0.049375758
100382,0.17342985
100384,0.07590998
100385,0.09401048
100386,0.045273636
100399,0.027248163
100404,0.08598357
100416,0.025038602
100422,0.09835932
100426,0.04193149
100438,0.03867089
100444,0.097648785
100445,0.15388374
100446,0.115445904
100447,0.022831341
100450,0.04802768
100466,0.030501261
100483,0.03382992
100484,0.02038153
100494,0.06128262
100510,0.17778939
100512,0.026627142
100517,0.030747244
100548,0.037587628
100551,0.038692933
100552,0.10285127
100553,0.03557819
100561,0.11742659
100568,0.4005048
100569,0.03933792
100591,0.07843555
100592,0.022464734
100602,0.089724354
100607,0.057922415
100613,0.085997514
100617,0.163292
100618,0.069258176
100622,0.058865506
100625,0.13293679
100677,0.15492463
100699,0.04267389
100702,0.41955832
100711,0.07987219
100729,0.13417913
100740,0.18577039
100744,0.16163501
100745,0.05633293
100747,0.1096679
100751,0.3320222
100752,0.085691795
100753,0.25333586
100754,0.23831852
100760,0.04762279
100762,0.114691526
100763,0.071432926
100765,0.024728635
100770,0.08482559
100772,0.0227242
100777,0.03907815
100791,0.03406029
100792,0.018428795
100797,0.028275628
100823,0.036665313
100826,0.04424803
100830,0.038356185
100836,0.21542694
100872,0.060529836
100910,0.08366543
100913,0.14973447
100918,0.06304499
100931,0.020410446
100952,0.04400598
100953,0.042420987
100965,0.18122116
100970,0.041345287
100982,0.13000144
100983,0.18739776
100984,0.051236
100987,0.070521094
100997,0.0643334
100998,0.15072717
101002,0.09372599
101005,0.21199019
101008,0.19381201
101020,0.10366374
101021,0.0408199
101024,0.08420851
101025,0.1432634
101026,0.07090153
101031,0.035944074
101041,0.023383714
101051,0.022140842
101055,0.07785905
101056,0.34066558
101057,0.044206355
101064,0.031126838
101079,0.12559365
101087,0.026221175
101090,0.032654203
101092,0.07881839
101097,0.10531199
101099,0.01999192
101107,0.0912233
101118,0.074280426
101125,0.077342644
101126,0.033211656
101128,0.025302237
101136,0.093453005
101140,0.19990084
101149,0.1468861
101160,0.07770797
101169,0.22111002
101181,0.03161238
101186,0.03693633
101190,0.10812212
101193,0.10207761
101194,0.13325775
101198,0.18548009
101200,0.04215548
101204,0.032996066
101211,0.061189838
101213,0.09179106
101223,0.05155566
101225,0.101933464
101237,0.08944559
101243,0.07665458
101244,0.21206497
101258,0.04587961
101259,0.2052964
101268,0.13350789
101269,0.026978005
101271,0.13179925
101279,0.057972163
101281,0.12145563
101287,0.054510344
101292,0.037733044
101294,0.05047523
101296,0.06766064
101297,0.03841869
101299,0.06018194
101301,0.04917486
101305,0.09337564
101308,0.13387445
101318,0.022762412
101327,0.2199101
101329,0.03211041
101332,0.051226407
101337,0.05534112
101343,0.037317183
101345,0.020758854
101346,0.014275887
101353,0.014943113
101354,0.10146374
101355,0.14862424
101356,0.028746353
101362,0.07201975
101363,0.32528928
101365,0.035275735
101366,0.11817909
101367,0.12498802
101368,0.013976119
101374,0.13189046
101380,0.025372624
101383,0.029463887
101398,0.027733998
101399,0.24533792
101401,0.18993534
101412,0.07099765
101426,0.063138984
101427,0.41415605
101428,0.15705475
101429,0.14362611
101434,0.058538444
101440,0.10658933
101448,0.07685454
101449,0.05794796
101465,0.042684544
101467,0.05041101
101472,0.08639049
101478,0.12540127
101497,0.050087288
101504,0.11637552
101547,0.033965237
101548,0.08745346
101555,0.11868338
101570,0.029510455
101572,0.08529676
101578,0.04034315
101580,0.15820189
101588,0.14331895
101602,0.03581991
101610,0.17917414
101614,0.06062969
101616,0.045731325
101643,0.09380822
101644,0.0510842
101649,0.07816527
101650,0.07424367
101665,0.015771914
101667,0.11550845
101669,0.045962412
101674,0.0798745
101675,0.038694803
101678,0.076331854
101682,0.06708792
101686,0.06130925
101697,0.1664123
101700,0.32404634
101711,0.045676835
101714,0.029361248
101715,0.22141194
101728,0.054162797
101732,0.04067438
101757,0.15181896
101758,0.035923205
101759,0.09803784
101762,0.021354953
101764,0.04806637
101780,0.33490518
101784,0.019965246
101789,0.019567426
101816,0.103775196
101819,0.03248612
101827,0.015183002
101863,0.079629496
101867,0.06441127
101870,0.019083122
101873,0.21724513
101878,0.119732715
101879,0.030912237
101880,0.029496098
101887,0.046169154
101897,0.03372687
101901,0.097749375
101903,0.23589613
101920,0.02704933
101921,0.05036312
101922,0.041681718
101961,0.12461794
101962,0.02805613
101971,0.04613748
101976,0.2510529
102002,0.08653385
102005,0.033894807
102007,0.24396688
102017,0.024235087
102019,0.22654334
102029,0.01632735
102051,0.1462326
102052,0.013649394
102054,0.024730837
102062,0.066769525
102067,0.13695224
102068,0.050248954
102070,0.050080888
102090,0.091426075
102092,0.07455936
102099,0.0936597
102100,0.027848175
102112,0.077877745
102113,0.04399882
102122,0.16525196
102123,0.05140571
102125,0.042881925
102126,0.18292062
102146,0.059567343
102147,0.12766458
102151,0.04335124
102158,0.14294429
102159,0.03656005
102162,0.096524924
102165,0.04539881
102166,0.035355534
102174,0.038244464
102193,0.22488683
102198,0.037708562
102205,0.08749118
102206,0.023875264
102218,0.02881322
102221,0.047539905
102230,0.054791886
102238,0.10962502
102248,0.046060357
102252,0.19124599
102259,0.045562692
102262,0.11714326
102273,0.053264186
102286,0.12786134
102293,0.033854164
102294,0.05130164
102296,0.07207487
102298,0.051840354
102303,0.03556708
102309,0.057873107
102315,0.04069047
102340,0.03218166
102342,0.07894175
102344,0.0787984
102346,0.10507579
102347,0.023347262
102374,0.078259155
102380,0.036443174
102387,0.03537808
102393,0.06291538
102403,0.028830279
102413,0.054885346
102414,0.013300946
102415,0.03954527
102416,0.10582333
102439,0.06392557
102441,0.043591384
102443,0.02320229
102444,0.08250367
102445,0.18636596
102448,0.05463143
102449,0.060298383
102450,0.15029553
102456,0.03226442
102458,0.10677947
102459,0.043706037
102465,0.02238214
102470,0.16324618
102471,0.053739563
102475,0.051509175
102476,0.10515969
102506,0.08903399
102509,0.05369827
102519,0.027517375
102522,0.06500237
102545,0.032991394
102549,0.050293006
102562,0.022217792
102563,0.021730252
102568,0.118725754
102582,0.0748742
102592,0.027260453
102597,0.15335028
102605,0.047556523
102614,0.029923676
102617,0.089945756
102634,0.11204413
102652,0.026250608
102655,0.014488763
102671,0.09146061
102694,0.212685
102701,0.040526293
102703,0.02124478
102704,0.022742426
102713,0.017814023
102720,0.17392792
102731,0.037718892
102733,0.04117395
102749,0.032534573
102755,0.039319064
102763,0.038400866
102770,0.05513946
102772,0.09986665
102799,0.21983679
102838,0.024670724
102854,0.035737082
102862,0.09423906
102863,0.03463571
102867,0.027434686
102868,0.020006541
102878,0.07961436
102887,0.07528684
102898,0.28444922
102904,0.11113782
102912,0.07409801
102919,0.027792756
102927,0.08637823
102932,0.053482186
102933,0.0914219
102935,0.03370092
102958,0.075444944
102969,0.17307863
102971,0.024541672
102975,0.047235012
102979,0.07254823
102982,0.024678618
102987,0.14778964
102989,0.07123632
102995,0.06026925
102996,0.030718878
103000,0.057055388
103001,0.07804517
103004,0.06604342
103010,0.02728522
103025,0.17690822
103029,0.054128997
103046,0.075268514
103056,0.058443148
103062,0.09424286
103078,0.025981005
103083,0.019120181
103092,0.06158753
103096,0.07803688
103097,0.18641199
103102,0.15859988
103112,0.055154055
103132,0.04445812
103144,0.077721536
103145,0.074530534
103146,0.028771073
103147,0.07214163
103158,0.020130321
103171,0.09517768
103173,0.025860535
103184,0.048260827
103195,0.16160093
103196,0.036188234
103206,0.03902648
103230,0.15826215
103231,0.13609478
103232,0.0343131
103239,0.072409675
103240,0.123815335
103243,0.054798312
103252,0.12634891
103258,0.051169623
103259,0.14950942
103279,0.036019962
103280,0.013902803
103286,0.020237012
103287,0.3439836
103290,0.031409837
103298,0.038048416
103315,0.013371533
103319,0.056477796
103334,0.096600525
103336,0.08269584
103345,0.03793067
103368,0.026930697
103371,0.19780894
103377,0.05756711
103398,0.02334104
103404,0.058570582
103408,0.1907391
103410,0.06930499
103418,0.03151086
103420,0.23802009
103432,0.07128309
103433,0.032609
103436,0.026796857
103440,0.038723014
103453,0.07548079
103459,0.05511518
103460,0.040327672
103461,0.029122584
103462,0.052084714
103473,0.11977082
103474,0.023669237
103475,0.2070711
103478,0.16088031
103480,0.11557221
103484,0.027362969
103494,0.11915487
103513,0.09849123
103515,0.08093607
103516,0.20314781
103525,0.13811964
103541,0.17751256
103544,0.027777169
103562,0.24932069
103570,0.31840804
103572,0.18666965
103574,0.028034534
103575,0.05250201
103591,0.09504153
103594,0.05727546
103609,0.03300437
103613,0.05905437
103614,0.023856334
103615,0.05220526
103624,0.060809597
103625,0.1832702
103628,0.29423586
103629,0.03358926
103647,0.045369286
103648,0.07139623
103651,0.05626024
103658,0.024817118
103668,0.06784968
103669,0.040855523
103676,0.05716373
103682,0.08787554
103683,0.035347477
103689,0.026716776
103725,0.04182175
103733,0.14234908
103744,0.020603316
103762,0.09640958
103771,0.22379299
103773,0.014730586
103783,0.057385482
103784,0.051832538
103808,0.022543496
103812,0.08565407
103813,0.13979614
103814,0.06585836
103818,0.2416116
103824,0.029529996
103828,0.024050888
103830,0.3037919
103840,0.022740366
103842,0.0909873
103847,0.15108457
103848,0.059646714
103851,0.027388249
103854,0.113432236
103857,0.16636086
103861,0.019104788
103862,0.096751936
103865,0.084861934
103870,0.017594604
103876,0.041805014
103891,0.37198842
103908,0.08963762
103914,0.0786315
103918,0.07936289
103940,0.03319434
103963,0.10610621
103966,0.09685034
